,city,state,city_size,mode,n,percent,moe,state_abb,state_region
0,Aberdeen,South Dakota,Small,Bike,110,0.8,0.5,SD,North Central
1,Acworth,Georgia,Small,Bike,0,0.0,0.4,GA,South
2,Addison,Illinois,Small,Bike,43,0.2,0.3,IL,North Central
3,Adelanto,California,Small,Bike,0,0.0,0.5,CA,West
4,Adrian,Michigan,Small,Bike,121,1.5,1.0,MI,North Central
5,Agawam Town,Massachusetts,Small,Bike,0,0.0,0.2,MA,Northeast
6,Agoura Hills,California,Small,Bike,84,0.8,1.1,CA,West
7,Aiken,South Carolina,Small,Bike,23,0.2,0.3,SC,South
8,Alabaster,Alabama,Small,Bike,0,0.0,0.2,AL,South
9,Alameda,California,Small,Bike,576,1.5,0.4,CA,West
10,Alamogordo,New Mexico,Small,Bike,35,0.3,0.2,NM,West
11,Albany,Georgia,Small,Bike,77,0.3,0.2,GA,South
12,Albany,New York,Small,Bike,419,0.9,0.3,NY,Northeast
13,Albany,Oregon,Small,Bike,281,1.3,0.6,OR,West
14,Albertville,Alabama,Small,Bike,2,0.0,0.1,AL,South
15,Alexandria,Louisiana,Small,Bike,100,0.5,0.3,LA,South
16,Algonquin,Illinois,Small,Bike,109,0.7,0.6,IL,North Central
17,Alhambra,California,Small,Bike,198,0.5,0.2,CA,West
18,Aliso Viejo,California,Small,Bike,85,0.3,0.2,CA,West
19,Allen,Texas,Small,Bike,21,0.0,0.1,TX,South
20,Allen Park,Michigan,Small,Bike,55,0.5,0.4,MI,North Central
21,Alliance,Ohio,Small,Bike,19,0.2,0.2,OH,North Central
22,Alpharetta,Georgia,Small,Bike,0,0.0,0.1,GA,South
23,Altamonte Springs,Florida,Small,Bike,282,1.3,0.7,FL,South
24,Alton,Illinois,Small,Bike,10,0.1,0.1,IL,North Central
25,Altoona,Pennsylvania,Small,Bike,33,0.2,0.2,PA,Northeast
26,Alvin,Texas,Small,Bike,127,1.2,0.7,TX,South
27,American Fork,Utah,Small,Bike,32,0.3,0.3,UT,West
28,Ames,Iowa,Small,Bike,808,2.5,0.6,IA,North Central
29,Anderson,Indiana,Small,Bike,96,0.4,0.2,IN,North Central
30,Anderson,South Carolina,Small,Bike,10,0.1,0.2,SC,South
31,Andover,Minnesota,Small,Bike,22,0.1,0.2,MN,North Central
32,Ankeny,Iowa,Small,Bike,52,0.2,0.2,IA,North Central
33,Annapolis,Maryland,Small,Bike,41,0.2,0.2,MD,South
34,Anniston,Alabama,Small,Bike,12,0.1,0.2,AL,South
35,Apache Junction,Arizona,Small,Bike,71,0.6,0.6,AZ,West
36,Apex,North Carolina,Small,Bike,0,0.0,0.2,NC,South
37,Apopka,Florida,Small,Bike,79,0.4,0.4,FL,South
38,Apple Valley,Minnesota,Small,Bike,79,0.3,0.2,MN,North Central
39,Apple Valley,California,Small,Bike,21,0.1,0.1,CA,West
40,Appleton,Wisconsin,Small,Bike,399,1.1,0.4,WI,North Central
41,Arcadia,California,Small,Bike,90,0.4,0.2,CA,West
42,Ardmore,Oklahoma,Small,Bike,19,0.2,0.3,OK,South
43,Arlington Heights,Illinois,Small,Bike,154,0.4,0.2,IL,North Central
44,Arnold,Missouri,Small,Bike,0,0.0,0.3,MO,North Central
45,Arvin,California,Small,Bike,0,0.0,0.6,CA,West
46,Asheboro,North Carolina,Small,Bike,10,0.1,0.2,NC,South
47,Asheville,North Carolina,Small,Bike,428,1.1,0.3,NC,South
48,Ashland,Kentucky,Small,Bike,0,0.0,0.4,KY,South
49,Ashland,Ohio,Small,Bike,49,0.6,0.4,OH,North Central
50,Ashland,Oregon,Small,Bike,560,6.2,1.9,OR,West
51,Atascadero,California,Small,Bike,58,0.4,0.4,CA,West
52,Athens,Alabama,Small,Bike,0,0.0,0.4,AL,South
53,Athens,Ohio,Small,Bike,208,2.2,0.9,OH,North Central
54,Atlantic City,New Jersey,Small,Bike,166,1.1,0.6,NJ,Northeast
55,Attleboro,Massachusetts,Small,Bike,39,0.2,0.2,MA,Northeast
56,Atwater,California,Small,Bike,18,0.2,0.2,CA,West
57,Auburn,Alabama,Small,Bike,475,2.0,0.5,AL,South
